index,name,hemisphere,continent,gdp_2010,b_hemis,b_cont,b_gdp
184,Liberia,South,Africa,6.09982524004147,0,0,22
186,Senegal,South,Africa,3.39088925336209,0,0,18
188,Seychelles,South,Africa,4.50513204312067,0,0,19
189,Bhutan,South,Asia,11.945895998376,0,1,30
191,Lesotho,South,Africa,5.26967078056286,0,0,20
192,Gambia,South,Africa,5.90833580968288,0,0,21
193,Guinea-Bissau,South,Africa,4.61097090010318,0,0,19
195,Chad,South,Africa,13.5501008595489,0,0,33
196,Equatorial_Guinea,South,Africa,-8.92417588851806,0,0,0
197,Faroe_Islands,North,Europe,-0.576939114349187,1,2,12
201,Brunei_Darussalam,South,Asia,2.59896574643226,0,1,16
202,Greenland,North,Europe,1.73582505889665,1,2,15
203,Libya,South,Africa,5.0272476723775,0,0,20
204,Micronesia_(Federated_States_of),South,Asia,2.25938995585932,0,1,16
205,Palau,North,Oceania,0.21609349236023,1,4,13
206,Kiribati,South,Oceania,-1.12026026125162,0,4,11
208,Tuvalu,North,Oceania,-2.22222222222223,1,4,9
209,Cayman_Islands,South,South America,-2.71563526217577,0,5,9
211,Maldives,South,Asia,6.83547139396723,0,1,23
212,Mauritania,South,Africa,2.62022952055378,0,0,16
213,Andorra,North,Europe,-1.97495799965345,1,2,10
